"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 20 17:37:11 CST 2025","Sat Sep 20 17:37:25 CST 2025","14221","testcases","test_collect_news","","","","test_collect_succ",""
"passed","Sat Sep 20 17:38:24 CST 2025","Sat Sep 20 17:38:31 CST 2025","6941","testcases","test_login","","","","test_login_fail",""
"passed","Sat Sep 20 17:37:31 CST 2025","Sat Sep 20 17:37:44 CST 2025","12652","testcases","test_comment_news","","","","test_comment_fail",""
"passed","Sat Sep 20 17:38:31 CST 2025","Sat Sep 20 17:38:39 CST 2025","8643","testcases","test_login","","","","test_login_ok",""
"passed","Sat Sep 20 17:38:05 CST 2025","Sat Sep 20 17:38:19 CST 2025","13937","testcases","test_comment_news","","","","test_comment_succ",""
